Name,Notes,City,State,Contact,Schedule,Address,Phone
Great Lakes Combatives,Jul 25,Willmar,MN,"Trevor Haney, Daniel Zwilling",Saturday 930 - 1100 am,"1605 1st St South A01-02, Willmar, MN 56201",320-894-2990
Green Dragon Kung Fu,Kung Fu,,,,,,
Gorilla Combat LLC,1/13/2024,Eden Prairie,MN,"Derek Barlow, Fabio Moresca",? M + Th 645 pm ?,"7887 Fuller Rd Suite 101, Eden Prairie, MN 55344",952-474-3213
Griffin Martial Arts,"Karate, Taekwondo",,,,,,
Hamel Jiujitsu,23-Jan-24,Hamel,MN,Darrin Homme,Sun 9-1030 am,"770 Tower Drive, Hamel, MN 55340",612-490-8265
Haus Jiu-Jitsu,,Mendota Heights,MN,Jose Varela Barca,,"2535 Pilot Knob RD Suite 126, Mendota Heights, MN 55120",
High Ground Brazilian Jiujitsu,,White Bear Lake,MN,Chris Golv,? Sat 11 am,"5960 US 61 #2, White Bear Lake, MN 55110",651-724-9088
Imperial Training Center,,,,,,,
Integrative Defense Strategies,,Independence,MN,Todd Fossey,,"6315 W Main St., Independence, MN 55359",952-496-8948
Iron Academy Martial Arts,,,,,,,
Isanti Grappling Club,,Isanti,,Chris Harsmann,,"101 Isanti Parkway Northeast, Isanti, MN 55040",
Jiujitsu Five-O,online,,,,,,
,,,,,,,
Kishketon Jiujitsu Academy,CLOSED,New Brighton,MN,Dr. Brendan Kishketon,Wednesday ? 8-930 pm,"445 Old Highway 8 NW Suite 103, New Brighton, MN 55112",651-374-9300
Krav Maga Minneapolis LLC,,Minneapolis,MN,Eugene Garrett,? W 730 pm ?,"2905 Garfield Ave, Minneapolis, MN 55408",612-558-2284
La Bodega Fitness and Fight Club,,Prior Lake,MN,Mitch White,"Fri 530 - 630, Sat 10-12","16861 Welcom Ave SE, Prior Lake, MN 55372",952-334-9536
Legacy American Martial Arts,,West St. Paul,MN,Jack Small,,"1911 S Roberts St, West St. Paul, MN 55118",651-343-3320
Los Campeones,,Brooklyn Center,MN,Brandon Wilson,,"6440 James Cir N, Brooklyn Center, MN 55430",763-205-0666
Mashkawizii Academy,,,,,,,
McCune's Martial Arts,,Brooklyn Park,MN,Dave Bergem,"? 630 pm, Sat 1pm, Sun 930 am","8616 Xylon Ave N, Brooklyn Park, MN 55445",763-416-0333
Midway Judo Club,,West St. Paul,MN,Cary Yamanaka,NONE,"1068 S Roberts St, West St. Paul, MN 55118",651-453-0403
Migration Jiujitsu,,,,,,,
Minnesota Kali Group (MKG Martial Arts),,Minneapolis,MN,,,"4532 Chicago Ave, Minneapolis, MN 55407",612-821-6800
Minnesota Kali Group (MKG Martial Arts) Edina,,Edina,MN,,,"7119 Amundson Ave, Edina, MN 55439",
Minnesota Kali Group (MKG Martial Arts) North,,Mounds View,MN,Peter Kwong,? Sat 900 am ?,"2552 County Hwy 10, Mounds View, MN 55112",612-564-9697
MSMA Mn School of Martial Arts,"April 21, 24",Chisago City,MN,Blummer Brothers,Sunday 430 pm - 600 pm Open,"11217 Lake Blvd, Chisago City, MN 55013",651-257-0727
Motion City Jiujitsu,Nov/10/24,New Brighton,MN,"Michelle Donovan, Aiden, Brian",,,
MTT Minnesota Top Team,,Eagan,MN,Jeremy Clark,Saturday 11 am - 1200 noon,"3500 Dodd Rd, Eagan, MN 55123",651-340-4349
