Name,Notes,City,State,Contact,Schedule,Address,Phone
MTT Minnesota Top Team,,Eagan,MN,Jeremy Clark,Saturday 11 am - 1200 noon,"3500 Dodd Rd, Eagan, MN 55123",651-340-4349
Mtheory Martial Arts,daily,St Louis Park,MN,Ishmael Bentley,"F 6-7, Sat 11-12","5700 W 36th St, St Louis Park, MN 55416",507-403-8596
Next Level Combat,,Woodbury,MN,Nate Klonfield,Sat 10-11 am No Gi,"1890 Wooddale Dr, Woodbury, MN 55125",651-890-9782
Pearson Brazilian Jiujitsu,,Northfield,MN,Alex Pearson - Tam Blackstone,Sat 10-11 am,"2010 Jefferson Rd Suite B, Northfield, MN 55057",507-403-8596
Prodigy Martial Arts,,Blaine,MN,"Justin Kahmann, Thao Le, Miki","M+F 715-745, Sat 1045-1115, Sun","1630 101st Ave NE #190, Blaine, MN 55449",763-888-8699
Pro Fitness Training,,,,,,,
Rebel Jiujitsu,,Eagan,MN,Tim Blackstone,Sat 10 am,"2020 Silver Bell Rd #4, Eagan, MN 55122",952-994-5719
Rebel Jiujitsu North,,Rogers,MN,Nate Schutz,Sat 10 am,"12510 Fletcher Ln, Rogers, MN 55374",763-464-4503
Rebel Mankato,,,,,,,
Resilience Martial Arts Grace JJ Lakeville,,Lakeville,MN,,? Unknown,17630 Juniper Path Suite G,
Rio Jitsu,,Apple Valley,MN,Joao Marinbo,? Unknown,"6950 146th St W #118, Apple Valley, MN 55124",952-388-1799
Romulus Jiujitsu,May 13 2025,Golden Valley,MN,Coach Keir,,"8808 7th Ave N, Golden Valley, MN 55427",218-461-0311
Royce Gracie Jiujitsu Academy,,Shakopee,MN,John King,Sat 10 am?,"215 1st Ave E, Shakopee, MN 55379",952-222-9882
ShinZenKai Danzan Ryu Jiujitsu,,St. Paul,MN,"Nate Hill, Dan Browning",? M + W 600 pm ?,"755 Prior Ave, St. Paul, MN 55104",
Shoshin Ryu,,Plymouth,MN,Brian Combo / Mr. Robbie,Sat 12 - 1 Ground Training,"13605 27th Ave N, Plymouth, MN 55441",763-248-6122
Shoujiki Jiujitsu,,Champlin,MN,,? Sat 930 ?,"11468 Marketplace Dr N, Champlin, MN 55316",763-228-4558
Southside Brazilian Jiujitsu Academy,,Minneapolis,MN,Enrique Muniz,"F 5, Sun ? pm, 12 noon, 12 more","2303 Kennedy St NE, Minneapolis, MN 55413",612-804-6456
Spartan Martial Arts Gym,,Oakdale,MN,Tom Schnitz,? Sat Noon - 100 pm,"432 Hayward Ave N, Oakdale, MN 55128",651-210-1631
Start BJJ,,St Cloud,MN,,,"1608 US 52, Rochester, MN 55901",507-512-3698
Stock Martial Arts,,Rochester,MN,Ryan Stock,,,952-900-2523
Stoic Martial Arts,,Chanhassen,MN,Mason McClellan,Sat 10 am Gi Rolls,"1855 Park Rd, Chanhassen, MN 55317",
Striking Institute,,Little Canada,MN,Kathy Bridges,,"3225 Country Dr #120, Little Canada, MN",763-200-1024
Tensei Jiujitsu,4-Mar-24,Minneapolis,MN,Fabio Moresca,Sat 8 am at Bellum,"6001 Lyndale Ave S, Studio 3, Minneapolis, MN 55419",612-355-9763
The Cellar Gym,27-Jan-24,Roseville,MN,"Ben Locken, Dave Margraf",Sat 1130 - 1230,"2480 Fairview Ave N, Suite #1, Roseville, MN 55113",612-355-2259
Tracks Brazilian Jiujitsu,,Andover,MN,Philip Guillen (X2),? Sun 9 am ?,"15190 Bluebird St NW Suite 112, Andover, MN 55304",612-799-9942
Tuffs Karate and Brazilian Jiujitsu,,Coon Rapids,MN,Nate Howe,CLOSED,,
Twin Cities BJJ,,,,,,,
United Jiujitsu,,Maplewood,MN,Stan Riser,NO OPEN MAT,"2055 White Bear Ave Suite 100, Maplewood, MN 55109",651-300-7743
