Name,Notes,City,State,Contact,Schedule,Address,Phone
United Jiujitsu,,Maplewood,MN,Stan Riser,NO OPEN MAT,"2055 White Bear Ave Suite 100, Maplewood, MN 55109",651-300-7743
Underground Brazilian Jiujitsu,,Red Wing,MN,Oscar Amaral Prata 4th degree,Sunday 10 - 12,"415 Main St, Red Wing, MN 55066",651-327-7660
Underground Brazilian Jiujitsu,,Shakopee,MN,John King,? Unknown,"215 1st Ave E, Shakopee, MN 55379",952-388-8737
Warrior's Cove Martial Arts and Fitness,,St. Louis Park,MN,? Owner David Arnebeck,Not Open to outsiders,"7107 Cedar Lk Rd S, St Louis Park, MN 55426",612-328-9488
Warrior's Cove Martial Arts and Fitness,,Little Canada,MN,? Owner David Arnebeck,Not Open to outsiders,"2900 Rice St, Little Canada, MN 55113",612-208-7984
World Jiujitsu Academy,30-Jan-24,Eden Prairie,MN,Jeremy Anderson,Tue 630 pm Marathon Roll,"6900 Shady Oak Rd #100, Eden Prairie, MN 55344",612-270-8620
World of Self Defense - Combat Jiujitsu,,Minneapolis,MN,"Steve Peterson, Roger Fass",Sat 2 - 3 PM ?,"5406 43rd Ave S, Minneapolis, MN 55417",612-726-9369
Wrestle Jitsu,,St Cloud,MN,Jake Clark,,,
X2 Fitness,,Minneapolis,MN,Gina Franssen,? No Open Mat,"2524 Nicollet Ave #200, Minneapolis, MN 55404",
